Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
969,Commcare Pharmacy,308,$72.4 million,Health,Fort Lauderdale,FL,http://www.inc.com/inc5000/profile/commcare-pharmacy,http://www.commcarepharmacy.com,"Commcare Pharmacy is a specialty pharmacy that was founded to increase the accessibility of HIV and AIDS medications. Since its inception, it has expanded not only geographically but also into clinical management of many other acute and chronic illnesses.",$17.8 million,60,1997,#72
970,Goldline International,307,$751.7 million,Retail,Santa Monica,CA,http://www.inc.com/inc5000/profile/goldline-international,http://www.goldline.com,"Goldline International sells precious metals products such as gold, silver, and platinum coins and bars and rare collectible coins. Goldline is a major sponsor of The Glenn Beck Program.",$184.7 million,360,1960,#46
971,AutoClaims Direct,307,$5.8 million,Insurance,Carlsbad,CA,http://www.inc.com/inc5000/profile/autoclaims-direct,http://www.autoclaimsdirect.com,"AutoClaims Direct sells strategic development services to the automobile insurance industry, including claims administration services, specialized software, auto damage appraisals, and data analytics.",$1.4 million,25,2004,#14
972,Niner Bikes,307,$2.7 million,Consumer Products & Services,North Hollywood,CA,http://www.inc.com/inc5000/profile/niner-bikes,http://www.ninerbikes.com,"Niner Bikes' name refers to its exclusive focus on making and selling mountain bikes with 29-inch diameter wheels, which are larger than the norm and offer more control and stability.","$658,356",10,2005,#60
973,Liquid Technology,306,$7.6 million,Computer Hardware,Brooklyn,NY,http://www.inc.com/inc5000/profile/liquid-technology,http://www.liquidtechnology.net,"Liquid Technology buys and sells used computer hardware and components. In addition it offers IT planning services, data destruction and management, and consulting services.",$1.9 million,17,2001,#9
974,Change Management Consulting,306,$13.2 million,Business Products & Services,Wayne,NJ,http://www.inc.com/inc5000/profile/change-management-consulting,http://www.cmc-changemanagement.com,"Change Management Consulting is a global management consulting and training company dedicated to helping organizations of all sizes improve performance, achieve goals and advance leadership capability. CMC specializes in change management, leadership development, strategic planning, continual improvement initiatives, compliance management--including ISO quality and environmental management systems--and Lean Six Sigma. Clients include The Coca-Cola Bottling Company, Toshiba American Business Systems, Kyocera Mita, and the U.S. Army.",$3.2 million,34,1993,#81
975,Namaste Solar Electric,306,$15.5 million,Energy,Boulder,CO,http://www.inc.com/inc5000/profile/namaste-solar-electric,http://www.namastesolar.com,"Namaste Solar offers solar energy technologies for homes, businesses, and nonprofits in Colorado.",$3.8 million,55,2004,#34
976,BuildASign.com,306,$12.3 million,Business Products & Services,Austin,TX,http://www.inc.com/inc5000/profile/buildasigncom,http://www.buildasign.com,"BuildASign.com is an online custom graphics and signage provider with a do-it-yourself design and ordering process. It sells custom indoor and outdoor signage including yard signs, real estate signs, parking and street signs, banners, magnetic signs, decals, bumper stickers, license plates, sandwich boards, flags, and neon signs. It also provides sign design and branding services for customers who prefer to not take the design-it-yourself route. BuildASign.com provides free welcome home banners to anyone welcoming home service members; the customer pays only shipping.",$3 million,64,2005,#82
977,Motive Interactive,306,$17.3 million,Advertising & Marketing,San Diego,CA,http://www.inc.com/inc5000/profile/motive-interactive,http://www.motiveinteractive.com,"Motive Interactive is a performance-based advertising network that provides lead generation for Internet advertisers through an exclusive invite-only network of Internet marketers. The company's proprietary technology supports ad campaigns through media buying, display advertising, paid search, social media, and e-mail marketing. Motive is one of the few cost-per-action networks that chose to build proprietary technology rather than lease third-party software.",$4.3 million,14,2003,#97
978,JH Global Services,306,$28 million,Manufacturing,Greenville,SC,http://www.inc.com/inc5000/profile/jh-global-services,http://www.jhglobalinc.com,"JH Global Services imports and distributes STAR brand electric golf carts, golfing accessories, and industrial products to dealers nationwide. It also offers outsourcing services to U.S. companies that want to have parts or products made in China, especially engineered metal products.",$6.9 million,35,2003,#15
979,American Security Programs,306,$55.8 million,Security,Dulles,VA,http://www.inc.com/inc5000/profile/american-security-programs,http://www.securityprograms.com,"American Security Programs provides security officers, security training programs, investigative services, and security consulting to government entities, property managers, luxury residential developments, hotels, resorts, clubs, schools and universities, and retailers.",$13.8 million,1200,1994,#28
980,Nitel,306,$31.9 million,Telecommunications,Chicago,IL,http://www.inc.com/inc5000/profile/nitel,http://www.nitelusa.com,"Nitel installs and supports Internet connectivity, private lines, internal networks, and voice services for commercial clients nationwide. It also uses flat rate pricing to provide economical service to rural or difficult-to-reach areas.",$7.9 million,54,2001,#41
981,Revolution Prep,305,$11.6 million,Education,Santa Monica,CA,http://www.inc.com/inc5000/profile/revolution-prep,http://www.revolutionprep.com,"Revolution Prep is a test preparation and online education company that helps students score higher on SAT and ACT tests and pass high-stakes state exams. Revolution Prep recently teamed with Los Angeles Mayor Antonio Villaraigosa's Partnership for Los Angeles Schools to bring free SAT test preparation to Santee High School, one of the district's most consistently underperforming schools. The school's seniors gained an average of 234 points on their SAT scores after completing the Revolution test preparation course. In addition, the company provides SAT and ACT test preparation to every interested student regardless of his or her ability to pay. Revolution Prep estimates that it has distributed $4.57 million total in prep course scholarships.",$2.9 million,90,2002,#14
982,Commonground,305,$13.4 million,Advertising & Marketing,Chicago,IL,http://www.inc.com/inc5000/profile/commonground,http://www.discovercg.com,"Commonground is a full-service marketing agency that offers brand strategy, advertising, promotional marketing, experiential and events marketing, research and account planning, cultural consulting, channel and retail marketing, environmental branding, graphic design, media services, and direct marketing. Clients include MillerCoors, Nike, Coca-Cola, Bacardi, and American Family Insurance.",$3.3 million,37,2004,#98
983,Renters Warehouse,304,$2 million,Real Estate,Golden Valley,MN,http://www.inc.com/inc5000/profile/renters-warehouse,http://www.renterswarehouse.com,Renters Warehouse is a placement and residential property management firm.,"$496,000",23,2006,#15
984,Infusionsoft,304,$15.1 million,Software,Gilbert,AZ,http://www.inc.com/inc5000/profile/infusionsoft,http://www.infusionsoft.com,"Infusionsoft sells Web-based software that helps small businesses automate marketing, sales, and customer management.",$3.7 million,143,2001,#66
985,Titan SEO,304,$2.2 million,Advertising & Marketing,Escondido,CA,http://www.inc.com/inc5000/profile/titan-seo,http://www.titan-seo.com,"Titan SEO is a search engine marketing company that helps businesses increase revenue, gain new customers, increase brand exposure, and get their messages out to target markets. The company manages primarily its clients' SEO and pay-per-click campaigns on Google, Yahoo!, and Bing. With its own proprietary search engine spider, TitanBOT, the company has an edge on interpreting how search engines will react to its clients' website updates.","$544,836",16,2004,#99
986,Worldwide Information Network Systems,304,$43.9 million,Government Services,Lanham,MD,http://www.inc.com/inc5000/profile/worldwide-information-network-systems,http://www.winsnetworks.com,"Worldwide Information Network Systems is an IT company serving federal, state, and local governments. WINS is one of the prime contractors for the GSA 8(a) Streamlined Technology Acquisition Resources for Services Indefinite Delivery, Indefinite Quantity contract, known across the community as GSA 8(a) STARS.",$10.9 million,178,1994,#120
987,Hardwire,304,$63.8 million,Government Services,Pocomoke City,MD,http://www.inc.com/inc5000/profile/hardwire,http://www.hardwirellc.com,"Hardwire develops and manufactures armor for military vehicles and facilities, bridges, and utilities. It also makes patented, high-tensile steel reinforcements for use in construction and other applications.",$15.8 million,40,2002,#121
988,Culbert Healthcare Solutions,304,$7.9 million,Health,Woburn,MA,http://www.inc.com/inc5000/profile/culbert-healthcare-solutions,http://www.culberthealth.com,"Culbert Healthcare Solutions provides operations management, revenue cycle and clinical transformation services, and IT to group medical practices, academic medical centers, and hospitals looking to improve patient care, patient experience, and financial performance.",$2 million,60,2006,#73
